category,x_pixel,y_pixel,distance_from_center_um,fus_intensity,fus_normalized,protein_intensity,protein_normalized,rgb_red,rgb_green,rgb_blue,n_blobs,box_size_px,box_size_um,fus_min,fus_max,protein_min,protein_max,ref_pixel_size_um,fus_colormap_type,fus_colorbar_hex,fus_colorbar_label,protein_colormap_type,protein_colorbar_hex,protein_colorbar_label
client_denovo,10,0,1.7172798257709772,207.57142857142858,0.0070396036724816435,706.5,0.3230177316828371,0.32301775,0.0033127547,0.0065426906,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,11,0,1.6862458302394694,201.92857142857142,0.004916976476908433,710.2857142857143,0.3318835526814466,0.33188355,0.0023138712,0.0045698956,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,12,0,1.6571813419176544,200.85714285714286,0.004513946505324203,733.6428571428571,0.38658420311323816,0.3865842,0.0021242101,0.004195315,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,13,0,1.6301917065179783,200.57142857142858,0.004406469167672143,756.1428571428571,0.4392774115441515,0.4392774,0.0020736326,0.0040954244,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,14,0,1.6053815745797002,210.07142857142858,0.00798000885277075,764.3571428571429,0.45851449210255313,0.45851448,0.0037552982,0.007416714,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,15,0,1.5828534360451691,199.57142857142858,0.0040303070955565,805.7142857142857,0.5553697092790754,0.55536973,0.0018966151,0.0037458148,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,16,0,1.5627059864222694,213.5,0.009269708205706915,800.9285714285714,0.5441619679057587,0.544162,0.0043622158,0.0086153755,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,17,0,1.5450323621206121,202.85714285714286,0.005266270649555489,858.4285714285714,0.6788223894514261,0.6788224,0.002478245,0.004894534,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,18,0,1.529918298472176,200.57142857142858,0.004406469167672143,822.4285714285714,0.5945132559619647,0.59451324,0.0020736326,0.0040954244,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,19,0,1.5174402788907373,200.35714285714286,0.004325865469266382,823.7857142857143,0.5976915152107206,0.59769154,0.0020357014,0.0040205102,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,20,0,1.5076637556166157,202.64285714285714,0.005185661211372016,831.3571428571429,0.6154231572079396,0.61542314,0.0024403112,0.0048196143,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,21,0,1.5006415294799749,201.5,0.004755763340319199,816.9285714285714,0.5816326939010749,0.5816327,0.0022380063,0.0044200625,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,22,0,1.4964123763187733,205.5,0.00626041162878177,775.0,0.4834392773502844,0.48343927,0.002946076,0.0058185,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,23,0,1.4949999999999994,205.5,0.00626041162878177,761.6428571428571,0.45215797360504145,0.45215797,0.002946076,0.0058185,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,24,0,1.4964123763187733,204.21428571428572,0.005776772219014068,779.2142857142857,0.493308819349333,0.4933088,0.002718481,0.005369,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,25,0,1.5006415294799749,202.57142857142858,0.0051587933119034285,737.1428571428571,0.3947809244247136,0.39478093,0.0024276674,0.0047946433,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,26,0,1.5076637556166157,200.92857142857142,0.00454081440479279,749.4285714285714,0.42355306860833475,0.42355308,0.0021368538,0.0042202864,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,27,0,1.5174402788907373,201.35714285714286,0.004702027541382024,711.4285714285714,0.3345600943694589,0.3345601,0.0022127188,0.00437012,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,28,0,1.529918298472176,200.71428571428572,0.004460204966609317,715.3571428571429,0.34376039374189743,0.3437604,0.00209892,0.004145367,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,29,0,1.5450323621206121,199.07142857142858,0.0038422260594986784,681.8571428571429,0.2653060611892042,0.26530606,0.0018081064,0.0035710102,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,30,0,1.5627059864222694,201.85714285714286,0.004890108577439846,699.1428571428571,0.3057879501858377,0.30578795,0.0023012275,0.0045449245,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,31,0,1.5828534360451691,208.57142857142858,0.007415765744597286,692.8571428571429,0.2910671853109841,0.29106718,0.003489772,0.0068922997,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,32,0,1.6053815745797002,202.71428571428572,0.005212529110840603,685.8571428571429,0.27467374268803324,0.27467373,0.0024529549,0.004844586,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,33,0,1.6301917065179783,204.71428571428572,0.005964853255071889,675.5714285714286,0.2505854392538266,0.25058544,0.0028069897,0.0055438047,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,34,0,1.6571813419176544,212.21428571428572,0.008786068795939211,685.5714285714286,0.27400464300089916,0.27400464,0.0041346205,0.008165875,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,35,0,1.6862458302394694,198.64285714285714,0.003681012922909444,719.6428571428571,0.35379731786733654,0.35379732,0.0017322414,0.0034211767,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,36,0,1.7172798257709772,198.14285714285714,0.0034929318868516224,743.5,0.4096687855470057,0.40966877,0.0016437327,0.003246372,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,37,0,1.7501785623187132,203.28571428571428,0.005427483786144723,705.5714285714286,0.32084305049504436,0.32084304,0.00255411,0.005044367,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,38,0,1.784838928306977,208.35714285714286,0.007335162046191525,696.9285714285714,0.30060224893620363,0.30060226,0.003451841,0.006817386,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,39,0,1.8211603443958462,200.07142857142858,0.004218388131614321,680.8571428571429,0.2629641408144969,0.26296413,0.0019851238,0.0039206194,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,40,0,1.8590454539897612,197.28571428571428,0.0031705113534508654,685.1428571428571,0.27300106493993603,0.27300107,0.0014920053,0.0029467104,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,41,0,1.8984006426463296,192.35714285714286,0.001316568892341238,690.0714285714286,0.28454328468708184,0.28454328,0.0006195618,0.0012236346,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,42,0,1.9391364057229181,200.71428571428572,0.004460204966609317,718.5714285714286,0.35128801536623877,0.35128802,0.00209892,0.004145367,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,43,0,1.9811675850366615,200.78571428571428,0.004487078605855616,684.4285714285714,0.27132824425236285,0.27132824,0.0021115665,0.0041703437,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,44,0,2.024413495311666,201.28571428571428,0.004675159641913437,678.7142857142857,0.2579458216912534,0.25794584,0.0022000752,0.0043451483,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,45,0,2.0687979601691406,201.07142857142858,0.0045945502037299645,689.7857142857143,0.28387418499994777,0.28387418,0.0021621413,0.004270229,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,46,0,2.114249275747776,198.07142857142858,0.0034660639873830353,677.3571428571429,0.2547674195030215,0.25476742,0.0016310889,0.0032214005,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,0,1,2.0687979601691406,196.0,0.0026868719436831624,658.1428571428571,0.20976921482284003,0.20976922,0.0012644103,0.0024972104,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,1,1,2.022325394193525,198.0,0.003439196087914448,686.1428571428571,0.2753429853146433,0.27534297,0.0016184453,0.0031964292,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,2,1,1.9768978223469207,204.85714285714286,0.0060185947937867745,678.2142857142857,0.2567748615038998,0.25677487,0.00283228,0.005593753,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,3,1,1.9325889371514051,196.42857142857142,0.0028480850802723966,659.0,0.21177651388424226,0.21177651,0.0013402753,0.0026470437,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,4,1,1.8894774409873216,199.42857142857142,0.003976571296619325,665.5714285714286,0.22716623550675397,0.22716624,0.0018713276,0.0036958721,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,5,1,1.8476471524617457,198.07142857142858,0.0034660639873830353,676.2142857142857,0.25209102075448525,0.25209102,0.0016310889,0.0032214005,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,6,1,1.807187040679519,204.42857142857142,0.00585738165719754,650.0,0.19069923051187693,0.19069923,0.002756415,0.0054439195,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,7,1,1.7681911661356071,201.71428571428572,0.00483636703872496,656.0,0.20475075276012047,0.20475075,0.0022759375,0.0044949763,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,8,1,1.7307585042402647,199.78571428571428,0.004110916533739973,665.1428571428571,0.22616265744579087,0.22616266,0.001934549,0.003820734,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
