z,idp1_intensity,idp2_intensity,rna_intensity
20.5,0.0054422222222222216,0.13013066666666667,0.10322977777777778
21.5,0.005193777777777778,0.13055955555555557,0.10317288888888888
22.5,0.005152,0.12938844444444444,0.10290488888888889
23.5,0.0050302222222222215,0.12874888888888888,0.10257422222222222
24.5,0.005435555555555556,0.12831599999999999,0.10180177777777778
25.5,0.005754222222222222,0.12564933333333334,0.101296
26.5,0.006030666666666667,0.12136133333333333,0.10048622222222223
27.5,0.006073777777777778,0.1187431111111111,0.09827822222222223
28.5,0.005431555555555556,0.11657644444444445,0.09680711111111112
29.5,0.004489333333333333,0.11559555555555556,0.09567822222222222
30.5,0.003783111111111111,0.11599466666666668,0.09459377777777778
31.5,0.0030173333333333332,0.11592888888888889,0.09396133333333334
32.5,0.0025577777777777777,0.11670088888888888,0.09356177777777779
33.5,0.0025186666666666664,0.11837822222222223,0.092532
34.5,0.0026253333333333333,0.12107422222222224,0.09230533333333332
35.5,0.0023933333333333333,0.12308044444444445,0.09280933333333334
36.5,0.0023555555555555556,0.12269511111111112,0.09351822222222221
37.5,0.002777777777777778,0.12115244444444444,0.0941271111111111
38.5,0.0035137777777777776,0.12159911111111112,0.093948
39.5,0.003846666666666667,0.12008533333333334,0.09575955555555556
40.5,0.004003111111111111,0.11923644444444444,0.09594577777777778
41.5,0.0038733333333333337,0.11704622222222222,0.09679466666666667
42.5,0.003320888888888889,0.11650755555555556,0.09672622222222223
43.5,0.0028884444444444448,0.116724,0.09675822222222223
44.5,0.0025515555555555556,0.11550311111111111,0.09681688888888888
45.5,0.0021160000000000003,0.1149368888888889,0.09540888888888888
46.5,0.002045777777777778,0.11494933333333335,0.09462400000000001
47.5,0.0023435555555555553,0.11305422222222222,0.0934328888888889
48.5,0.0025804444444444447,0.11168088888888889,0.09202977777777778
49.5,0.002927555555555555,0.11125555555555555,0.09090177777777778
50.5,0.0030484444444444443,0.11056711111111112,0.09241422222222222
51.5,0.0033039999999999996,0.11176755555555555,0.09317377777777777
52.5,0.003682222222222222,0.11234311111111112,0.09335688888888888
53.5,0.0038835555555555555,0.11275688888888889,0.09389688888888889
54.5,0.0037519999999999997,0.11363422222222222,0.09544177777777778
55.5,0.00382,0.11331022222222223,0.09595155555555555
56.5,0.003952888888888889,0.11469466666666667,0.09406755555555554
57.5,0.0037764444444444447,0.11697822222222222,0.09317466666666667
58.5,0.003781333333333333,0.11859466666666667,0.09325866666666667
59.5,0.0039022222222222223,0.1182591111111111,0.09408044444444444
60.5,0.003996888888888889,0.117568,0.09463422222222222
61.5,0.0040724444444444445,0.11619555555555555,0.09459422222222222
62.5,0.003995111111111112,0.11751555555555555,0.09498444444444445
63.5,0.0037982222222222224,0.11820311111111112,0.09657377777777777
64.5,0.0035088888888888886,0.11832400000000001,0.09686177777777778
65.5,0.003252888888888889,0.11803200000000001,0.09659733333333334
66.5,0.0028977777777777778,0.11598888888888889,0.09718266666666667
67.5,0.0027062222222222223,0.11521244444444444,0.09696444444444445
68.5,0.002953777777777778,0.11646977777777778,0.09627422222222222
69.5,0.003122666666666667,0.11603511111111112,0.09656933333333334
70.5,0.003531111111111111,0.11569066666666666,0.0966071111111111
71.5,0.0036568888888888888,0.11475155555555555,0.09633822222222223
72.5,0.003919111111111111,0.11521866666666666,0.09521644444444445
73.5,0.003968444444444445,0.115828,0.0947311111111111
74.5,0.003959111111111111,0.1142711111111111,0.09397777777777777
